element,true_positive,true_negative,false_positive,false_negative
Ac,0,88781,0,0
Ag,0,88781,0,0
Al,0,88781,0,0
Am,0,88781,0,0
Ar,0,88781,0,0
As,0,88774,0,7
At,0,88781,0,0
Au,0,88781,0,0
B,0,88754,0,27
Ba,0,88781,0,0
Be,0,88781,0,0
Bh,0,88781,0,0
Bi,0,88781,0,0
Bk,0,88781,0,0
Br,0,87970,0,811
C,88781,0,0,0
Ca,0,88781,0,0
Cd,0,88781,0,0
Ce,0,88781,0,0
Cf,0,88781,0,0
Cl,0,83383,0,5398
Cm,0,88781,0,0
Cn,0,88781,0,0
Co,0,88776,0,5
Cr,0,88781,0,0
Cs,0,88781,0,0
Cu,0,88781,0,0
Db,0,88781,0,0
Ds,0,88781,0,0
Dy,0,88781,0,0
Er,0,88781,0,0
Es,0,88781,0,0
Eu,0,88781,0,0
F,0,80686,0,8095
Fe,0,88780,0,1
Fl,0,88781,0,0
Fm,0,88781,0,0
Fr,0,88781,0,0
Ga,0,88781,0,0
Gd,0,88781,0,0
Ge,0,88781,0,0
H,88780,0,1,0
He,0,88781,0,0
Hf,0,88781,0,0
Hg,0,88781,0,0
Ho,0,88781,0,0
Hs,0,88781,0,0
I,0,88512,0,269
In,0,88781,0,0
Ir,0,88781,0,0
K,0,88762,0,19
Kr,0,88781,0,0
La,0,88781,0,0
Li,0,88781,0,0
Lr,0,88781,0,0
Lu,0,88781,0,0
Lv,0,88781,0,0
Mc,0,88781,0,0
Md,0,88781,0,0
Mg,0,88781,0,0
Mn,0,88781,0,0
Mo,0,88781,0,0
Mt,0,88781,0,0
N,57449,0,31332,0
Na,0,88689,0,92
Nb,0,88781,0,0
Nd,0,88781,0,0
Ne,0,88781,0,0
Nh,0,88781,0,0
Ni,0,88781,0,0
No,0,88781,0,0
Np,0,88781,0,0
O,85765,0,3016,0
Og,0,88781,0,0
Os,0,88781,0,0
P,0,85698,0,3083
Pa,0,88781,0,0
Pb,0,88781,0,0
Pd,0,88781,0,0
Pm,0,88781,0,0
Po,0,88781,0,0
Pr,0,88781,0,0
Pt,0,88781,0,0
Pu,0,88781,0,0
Ra,0,88781,0,0
Rb,0,88781,0,0
Re,0,88781,0,0
Rf,0,88781,0,0
Rg,0,88781,0,0
Rh,0,88781,0,0
Rn,0,88781,0,0
Ru,0,88781,0,0
S,0,77526,0,11255
Sb,0,88781,0,0
Sc,0,88781,0,0
Se,0,88768,0,13
Sg,0,88781,0,0
Si,0,88769,0,12
Sm,0,88781,0,0
Sn,0,88781,0,0
Sr,0,88781,0,0
Ta,0,88781,0,0
Tb,0,88781,0,0
Tc,0,88781,0,0
Te,0,88781,0,0
Th,0,88781,0,0
Ti,0,88781,0,0
Tl,0,88781,0,0
Tm,0,88781,0,0
Ts,0,88781,0,0
U,0,88781,0,0
V,0,88781,0,0
W,0,88781,0,0
Xe,0,88781,0,0
Y,0,88781,0,0
Yb,0,88781,0,0
Zn,0,88781,0,0
Zr,0,88781,0,0
